Ergebnis E5p-Klausur vom 15.02.2018
Stand: 17.02.2018

Matrikelnr.	Punkte	Note
 8060360	31,0	1,7
10363860	25,5	2,3
10400433	13,0	4,0
10504628	28,0	2,0
10626628	0,5	5,0
10747057	33,0	1,3
10750948	23,0	2,7
10809785	22,0	3,0
10934858	27,5	2,0
10944722	40,0	1,0
10948009	25,5	2,3
10976812	19,5	3,3
10993362	20,0	3,0
11059779	30,0	1,7
11141935	21,5	3,0
11146450	24,5	2,7
11158086	23,0	2,7
11162518	25,5	2,3
11163883	12,0	5,0
11165573	13,5	4,0
11173616	17,0	3,7
11344160	16,5	3,7


Mindestpunktzahlen fuer Notenstufen:
12.5 -> 4.0
15.0 -> 3.7
17.5 -> 3.3
20.0 -> 3.0
22.5 -> 2.7
25.0 -> 2.3
27.5 -> 2.0
30.0 -> 1.7
32.5 -> 1.3
35.0 -> 1.0
